Commune,NIS,Latitude,Longitude
Anderlecht,21001,50.839080702,4.32904225500005
Bruxelles,21004,50.8465942650001,4.35194324800005
Ixelles,21009,50.8325355160001,4.36783627
Etterbeek,21005,50.8363413530001,4.38676556600007
Evere,21006,50.8724659310001,4.40339595700004
Ganshoren,21008,50.8699028950001,4.30783533700003
Jette,21010,50.875568871,4.32416507300007
Koekelberg,21011,50.8608237460001,4.33124787700007
Auderghem,21002,50.816809479,4.42780421
Schaerbeek,21015,50.867764332,4.37377323500004
Berchem-Sainte-Agathe,21003,50.8652188660001,4.29501993600007
Saint-Gilles,21013,50.824399633,4.34571327300006
Molenbeek-Saint-Jean,21012,50.855104543,4.33869938
Saint-Josse-ten-Noode,21014,50.8508397370001,4.36941739900004
Woluwe-Saint-Lambert,21018,50.843662205,4.42585443300004
Woluwe-Saint-Pierre,21019,50.8372580210001,4.42688458900005
Uccle,21016,50.803547457,4.33329473900005
Forest,21007,50.8112783240001,4.31934276900006
Watermael-Boitsfort,21017,50.7980540340001,4.41706159900002
Aartselaar,11001,51.1348012660001,4.38751608400003
Anvers,11002,51.221286117,4.39924669100003
Boechout,11004,51.163827473,4.49694328900006
Boom,11005,51.0876601250001,4.36584941200005
Borsbeek,11007,51.1944759900001,4.48501449700007
Brasschaat,11008,51.287499751,4.48610816400003
Brecht,11009,51.348474466,4.63989146
Edegem,11013,51.154531396,4.44542099700004
Essen,11016,51.4647294390001,4.47257248300002
Hemiksem,11018,51.1313285150001,4.32944319500007
Hove,11021,51.1461586660001,4.47448000200006
Kalmthout,11022,51.3831074670001,4.47669061600004
Kapellen,11023,51.308132088,4.43156756500002
Kontich,11024,51.135454178,4.44589259900005
Lint,11025,51.127127376,4.49388748900003
Malle,11057,51.297155097,4.69335165600006
Mortsel,11029,51.1708518570001,4.45726961400004
Niel,11030,51.109254675,4.32604969
Ranst,11035,51.181369584,4.60388202500008
Rumst,11037,51.101383835,4.41188446500007
Schelle,11038,51.1267368100001,4.33596356900006
Schilde,11039,51.2416597770001,4.57853523
Schoten,11040,51.250814055,4.49800612
Stabroek,11044,51.334706635,4.36933285
Wijnegem,11050,51.227840288,4.52369729
Wommelgem,11052,51.20347787,4.52259056400004
Wuustwezel,11053,51.3920519210001,4.59920391500003
Zandhoven,11054,51.2143568500001,4.65985755700007
Zoersel,11055,51.2707981450001,4.64271460800006
Zwijndrecht,11056,51.2188462880001,4.32641790400004
Berlaar,12002,51.117597909,4.65772748800003
Bonheiden,12005,51.025467415,4.5487479
Bornem,12007,51.100124952,4.24165156800007
Duffel,12009,51.09524486,4.50567924600006
Heist-op-den-Berg,12014,51.0758044520001,4.72833771600006
Lierre,12021,51.1309963460001,4.56993253200005
Malines,12025,51.0281377530001,4.48159618200003
Nijlen,12026,51.1604093700001,4.67027651200004
Putte,12029,51.057157734,4.62858057500006
Puurs-Sint-Amands,12041,51.076317944,4.27820595500003
Sint-Katelijne-Waver,12035,51.0674915720001,4.53583757600006
Willebroek,12040,51.063562447,4.36167955500002
Arendonk,13001,51.3205667240001,5.08665412500005
Baerle-Duc,13002,51.4400473490001,4.92708988600003
